"binomial","Family","Genus"
"Acanthus_mollis","Acanthaceae","Acanthus"
"Anisacanthus_linearis","Acanthaceae","Anisacanthus"
"Anisacanthus_puberulus","Acanthaceae","Anisacanthus"
"Anisacanthus_quadrifidus","Acanthaceae","Anisacanthus"
"Anisacanthus_thurberi","Acanthaceae","Anisacanthus"
"Asystasia_gangetica","Acanthaceae","Asystasia"
"Barleria_cristata","Acanthaceae","Barleria"
"Barleria_lupulina","Acanthaceae","Barleria"
"Carlowrightia_arizonica","Acanthaceae","Carlowrightia"
"Carlowrightia_linearifolia","Acanthaceae","Carlowrightia"
"Carlowrightia_mexicana","Acanthaceae","Carlowrightia"
"Carlowrightia_parviflora","Acanthaceae","Carlowrightia"
"Carlowrightia_parvifolia","Acanthaceae","Carlowrightia"
"Carlowrightia_serpyllifolia","Acanthaceae","Carlowrightia"
"Carlowrightia_texana","Acanthaceae","Carlowrightia"
"Carlowrightia_torreyana","Acanthaceae","Carlowrightia"
"Dicliptera_brachiata","Acanthaceae","Dicliptera"
"Dicliptera_resupinata","Acanthaceae","Dicliptera"
"Dicliptera_sexangularis","Acanthaceae","Dicliptera"
"Dyschoriste_angusta","Acanthaceae","Dyschoriste"
"Dyschoriste_crenulata","Acanthaceae","Dyschoriste"
"Dyschoriste_humistrata","Acanthaceae","Dyschoriste"
"Dyschoriste_linearis","Acanthaceae","Dyschoriste"
"Dyschoriste_oblongifolia","Acanthaceae","Dyschoriste"
"Dyschoriste_schiedeana","Acanthaceae","Dyschoriste"
"Elytraria_bromoides","Acanthaceae","Elytraria"
"Elytraria_caroliniensis","Acanthaceae","Elytraria"
"Elytraria_imbricata","Acanthaceae","Elytraria"
"Eranthemum_pulchellum","Acanthaceae","Eranthemum"
"Graptophyllum_pictum","Acanthaceae","Graptophyllum"
"Hemigraphis_alternata","Acanthaceae","Hemigraphis"
"Hemigraphis_reptans","Acanthaceae","Hemigraphis"
"Henrya_insularis","Acanthaceae","Henrya"
"Hygrophila_corymbosa","Acanthaceae","Hygrophila"
"Hygrophila_costata","Acanthaceae","Hygrophila"
"Hygrophila_difformis","Acanthaceae","Hygrophila"
"Hygrophila_lacustris","Acanthaceae","Hygrophila"
"Hygrophila_polysperma","Acanthaceae","Hygrophila"
"Justicia_americana","Acanthaceae","Justicia"
"Justicia_angusta","Acanthaceae","Justicia"
"Justicia_brandegeeana","Acanthaceae","Justicia"
