"","SCIENTIFIC_NAME","GENUS","FAMILY","put_level","put"
"1","Abies amabilis","Abies","Pinaceae","mrca_genus","Abies"
"2","Abies concolor","Abies","Pinaceae","mrca_genus","Abies"
"3","Abies grandis","Abies","Pinaceae","mrca_genus","Abies"
"5","Abies lasiocarpa","Abies","Pinaceae","mrca_genus","Abies"
"8","Abies magnifica","Abies","Pinaceae","mrca_genus","Abies"
"9","Abelmoschus moschatus","Abelmoschus","Malvaceae","mrca_genus","Abelmoschus"
"10","Abies procera","Abies","Pinaceae","mrca_genus","Abies"
"11","Abrus precatorius","Abrus","Fabaceae","congener","Abrus_precatorius"
"14","Acacia angustissima","Acacia","Fabaceae","mrca_genus","Acacia"
"16","Achyranthes aspera","Achyranthes","Amaranthaceae","mrca_genus","Achyranthes"
"17","Achlys californica","Achlys","Berberidaceae","mrca_genus","Achlys"
"18","Acer circinatum","Acer","Aceraceae","mrca_genus","Acer"
"19","Acacia confusa","Acacia","Fabaceae","mrca_genus","Acacia"
"20","Acacia constricta","Acacia","Fabaceae","mrca_genus","Acacia"
"21","Achnatherum coronatum","Achnatherum","Poaceae","mrca_genus","Achnatherum"
"22","Achnatherum contractum","Achnatherum","Poaceae","mrca_genus","Achnatherum"
"23","Aconitum columbianum","Aconitum","Ranunculaceae","mrca_genus","Aconitum"
"25","Aconitum delphiniifolium","Aconitum","Ranunculaceae","mrca_genus","Aconitum"
"26","Acacia dealbata","Acacia","Fabaceae","mrca_genus","Acacia"
"28","Acacia farnesiana","Acacia","Fabaceae","mrca_genus","Acacia"
"29","Achillea filipendulina","Achillea","Asteraceae","mrca_genus","Achillea"
"30","Acer glabrum","Acer","Aceraceae","mrca_genus","Acer"
"35","Acacia greggii","Acacia","Fabaceae","mrca_genus","Acacia"
"36","Acer grandidentatum","Acer","Aceraceae","mrca_genus","Acer"
"40","Achnatherum hymenoides","Achnatherum","Poaceae","mrca_genus","Achnatherum"
"41","Acacia koa","Acacia","Fabaceae","mrca_genus","Acacia"
"42","Acacia koaia","Acacia","Fabaceae","mrca_genus","Acacia"
"43","Achnatherum lemmonii","Achnatherum","Poaceae","mrca_genus","Achnatherum"
"44","Achnatherum lettermanii","Achnatherum","Poaceae","mrca_genus","Achnatherum"
"46","Acacia mangium","Acacia","Fabaceae","mrca_genus","Acacia"
