Family,genus
Acanthaceae,Acanthopale C.B.Clarke
Acanthaceae,Acanthopsis Harv.
Acanthaceae,Acanthus L.
Acanthaceae,Achyrocalyx Benoist
Acanthaceae,Afrofittonia Lindau
Acanthaceae,Ambongia Benoist
Acanthaceae,Ancistranthus Lindau
Acanthaceae,Andrographis Wall. ex Nees
Acanthaceae,Angkalanthus Balf.f.
Acanthaceae,Anisacanthus Nees
Acanthaceae,Anisosepalum E.Hossain
Acanthaceae,Anisostachya Nees
Acanthaceae,Anisotes Nees
Acanthaceae,Anomacanthus R.D.Good
Acanthaceae,Aphanosperma T.F.Daniel
Acanthaceae,Aphelandra R.Br.
Acanthaceae,Ascotheca Heine
Acanthaceae,Asystasia Blume
Acanthaceae,Avicennia L.
Acanthaceae,Ballochia Balf.f.
Acanthaceae,Barleria L.
Acanthaceae,Barleriola Oerst.
Acanthaceae,Blepharis Juss.
Acanthaceae,Borneacanthus Bremek.
Acanthaceae,Boutonia DC.
Acanthaceae,Brachystephanus Nees
Acanthaceae,Bravaisia DC.
Acanthaceae,Brillantaisia P.Beauv.
Acanthaceae,Brunoniella Bremek.
Acanthaceae,Calacanthus T.Anderson ex Benth.
Acanthaceae,Calycacanthus K.Schum.
Acanthaceae,Camarotea Elliot
Acanthaceae,Carlowrightia A.Gray
Acanthaceae,Celerina Benoist
Acanthaceae,Cephalacanthus Lindau
Acanthaceae,Cephalophis Vollesen
Acanthaceae,Chalarothyrsus Lindau
Acanthaceae,Chamaeranthemum Nees
Acanthaceae,Chileranthemum Oerst.
Acanthaceae,Chlamydacanthus Lindau
Acanthaceae,Chlamydocardia Lindau
Acanthaceae,Chorisochora Vollesen
Acanthaceae,Chroesthes Benoist
Acanthaceae,Clinacanthus Nees
Acanthaceae,Clistax Mart.
Acanthaceae,Codonacanthus Nees
Acanthaceae,Conocalyx Benoist
Acanthaceae,Cosmianthemum Bremek.
Acanthaceae,Crabbea Harv.
Acanthaceae,Crossandra Salisb.
Acanthaceae,Crossandrella C.B.Clarke
Acanthaceae,Cuenotia Rizzini
Acanthaceae,Cyclacanthus S.Moore
Acanthaceae,Cynarospermum Vollesen
Acanthaceae,Cyphacanthus Leonard
Acanthaceae,Danguya Benoist
Acanthaceae,Dasytropis Urb.
Acanthaceae,Dianthera L.
